address,predicted_block,predicted_street,predicted_building,predicted_floor_num,predicted_unit_num,predicted_country,predicted_postal_code,block,street,building,floor_num,unit_num,country,postal_code,accuracy,latitude,longitude
513 #28-87 BEDOK NORTH AVENUE 2 KAKI BUKIT GREEN SINGAPORE 460513,513,BEDOK NORTH AVENUE 2,KAKI BUKIT GREEN,28,87,SINGAPORE,460513,513,BEDOK NORTH AVENUE 2,KAKI BUKIT GREEN,28,87,SINGAPORE,460513,1.0,1.3329184,103.9291815
33 BEDOK SOUTH AVENUE 2 #11-79 SINGAPORE 460033,33,BEDOK SOUTH AVENUE 2,,11,79,SINGAPORE,460033,33,BEDOK SOUTH AVENUE 2,,11,79,SINGAPORE,460033,1.0,1.3228103,103.939051
114 #03-53 EUNOS VISTA BEDOK RESERVOIR ROAD SINGAPORE 470114,114,BEDOK RESERVOIR ROAD,EUNOS VISTA,03,53,SINGAPORE,470114,114,BEDOK RESERVOIR ROAD,EUNOS VISTA,03,53,SINGAPORE,470114,1.0,1.3305495,103.9099614
520 HDB PUBLIC SHELTERS #28-44 PASIR RIS STREET 52 SINGAPORE 510520,520,PASIR RIS STREET 52,HDB PUBLIC SHELTERS,28,44,SINGAPORE,510520,520,PASIR RIS STREET 52,HDB PUBLIC SHELTERS,28,44,SINGAPORE,510520,1.0,1.373484,103.9448726
72 REDHILL RISE #27-91 REDHILL ROAD SINGAPORE 150072,72,REDHILL ROAD,REDHILL RISE,27,91,SINGAPORE,150072,72,REDHILL ROAD,REDHILL RISE,27,91,SINGAPORE,150072,1.0,1.2874018,103.816237
550 #25-15 JURONG WEST STREET 42 SINGAPORE 640550,550,JURONG WEST STREET 42,,25,15,SINGAPORE,640550,550,JURONG WEST STREET 42,,25,15,SINGAPORE,640550,1.0,1.3526859,103.7164129
108 ANG MO KIO AVENUE 4 #05-55 THE ANIMAL DOCTORS SINGAPORE 560108,108,ANG MO KIO AVENUE 4,THE ANIMAL DOCTORS,05,55,SINGAPORE,560108,108,ANG MO KIO AVENUE 4,THE ANIMAL DOCTORS,05,55,SINGAPORE,560108,1.0,12.8594747,77.5605778
205 #03-11 BOON LAY GARDENS BOON LAY DRIVE SINGAPORE 640205,205,BOON LAY DRIVE,BOON LAY GARDENS,03,11,SINGAPORE,640205,205,BOON LAY DRIVE,BOON LAY GARDENS,03,11,SINGAPORE,640205,1.0,1.3448442,103.7157766
559 JURONG WEST STREET 42 #24-88 SINGAPORE 640559,559,JURONG WEST STREET 42,,24,88,SINGAPORE,640559,559,JURONG WEST STREET 42,,24,88,SINGAPORE,640559,1.0,1.3544464,103.7185272
266 BOON LAY CREST #09-17 BOON LAY DRIVE SINGAPORE 640266,266,BOON LAY DRIVE,BOON LAY CREST,09,17,SINGAPORE,640266,266,BOON LAY DRIVE,BOON LAY CREST,09,17,SINGAPORE,640266,1.0,1.3461772,103.7062633
7A #19-03 COMMONWEALTH AVENUE SINGAPORE 141007,7A,COMMONWEALTH AVENUE,,19,03,SINGAPORE,141007,7A,COMMONWEALTH AVENUE,,19,03,SINGAPORE,141007,1.0,55.921431825,37.7884026125
171 STIRLING VIEW #28-62 STIRLING ROAD SINGAPORE 140171,171,STIRLING ROAD,STIRLING VIEW,28,62,SINGAPORE,140171,171,STIRLING ROAD,STIRLING VIEW,28,62,SINGAPORE,140171,1.0,55.41360938,38.27336864205128
782B WOODLANDS MEADOW #09-83 WOODLANDS CRESCENT SINGAPORE 732782,782B,WOODLANDS CRESCENT,WOODLANDS MEADOW,09,83,SINGAPORE,732782,782B,WOODLANDS CRESCENT,WOODLANDS MEADOW,09,83,SINGAPORE,732782,1.0,1.4474063,103.8030587
323 HOUGANG AVENUE 5 #27-94 SINGAPORE 530323,323,HOUGANG AVENUE 5,,27,94,SINGAPORE,530323,323,HOUGANG AVENUE 5,,27,94,SINGAPORE,530323,1.0,1.3672336,103.8977905
191 BUKIT BATOK WEST AVENUE 6 #14-84 SINGAPORE 650191,191,BUKIT BATOK WEST AVENUE 6,,14,84,SINGAPORE,650191,191,BUKIT BATOK WEST AVENUE 6,,14,84,SINGAPORE,650191,1.0,1.3455569,103.7454247
613 CHOA CHU KANG STREET 62 #12-75 SINGAPORE 680613,613,CHOA CHU KANG STREET 62,,12,75,SINGAPORE,680613,613,CHOA CHU KANG STREET 62,,12,75,SINGAPORE,680613,1.0,10.472445937931035,76.10136049310344
233 HOUGANG STREET 21 #11-32 SINGAPORE 530233,233,HOUGANG STREET 21,,11,32,SINGAPORE,530233,233,HOUGANG STREET 21,,11,32,SINGAPORE,530233,1.0,46.365036611538464,25.79917637307692
506 WEST COAST VISTA WEST COAST DRIVE #09-55 SINGAPORE 120506,506,WEST COAST DRIVE,WEST COAST VISTA,09,55,SINGAPORE,120506,506,WEST COAST DRIVE,WEST COAST VISTA,09,55,SINGAPORE,120506,1.0,11.4690007,104.7923055
22 SAINT GEORGE'S EAST GARDENS SAINT GEORGE'S ROAD #19-90 SINGAPORE 321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,19,90,SINGAPORE,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,19,90,SINGAPORE,321022,1.0,27.657496855555557,77.28234162222222
213A PUNGGOL WALK PUNGGOL WAVES #16-77 SINGAPORE 821213,213A,PUNGGOL WALK,PUNGGOL WAVES,16,77,SINGAPORE,821213,213A,PUNGGOL WALK,PUNGGOL WAVES,16,77,SINGAPORE,821213,1.0,1.4002894,103.8983544
136 RIVERVALE STREET RIVERVALE PLAINS #27-98 SINGAPORE 540136,136,RIVERVALE STREET,RIVERVALE PLAINS,27,98,SINGAPORE,540136,136,RIVERVALE STREET,RIVERVALE PLAINS,27,98,SINGAPORE,540136,1.0,46.559018835714284,24.5779899
405 PANDAN GARDENS #08-94 SINGAPORE 600405,405,PANDAN GARDENS,,08,94,SINGAPORE,600405,405,PANDAN GARDENS,,08,94,SINGAPORE,600405,1.0,44.8181371,11.6022489
536 BEDOK NORTH STREET 3 #16-70 SINGAPORE 460536,536,BEDOK NORTH STREET 3,,16,70,SINGAPORE,460536,536,BEDOK NORTH STREET 3,,16,70,SINGAPORE,460536,1.0,1.333298,103.9229781
4 HAIG VIEW #22-58 HAIG ROAD SINGAPORE 430004,4,HAIG ROAD,HAIG VIEW,22,58,SINGAPORE,430004,4,HAIG ROAD,HAIG VIEW,22,58,SINGAPORE,430004,1.0,54.17623877142857,45.17889641428572
164 SIGLAP EAST BEDOK SOUTH ROAD #21-51 SINGAPORE 460164,164,BEDOK SOUTH ROAD,SIGLAP EAST,21,51,SINGAPORE,460164,164,BEDOK SOUTH ROAD,SIGLAP EAST,21,51,SINGAPORE,460164,1.0,1.3200734,103.9465222
409A FERNVALE ROAD CORAL VALE #02-76 SINGAPORE 791409,409A,FERNVALE ROAD,CORAL VALE,02,76,SINGAPORE,791409,409A,FERNVALE ROAD,CORAL VALE,02,76,SINGAPORE,791409,1.0,1.3890994,103.8771424
303B ANCHORVALE LINK ANCHORVALE COURT #17-48 SINGAPORE 542303,303B,ANCHORVALE LINK,ANCHORVALE COURT,17,48,SINGAPORE,542303,303B,ANCHORVALE LINK,ANCHORVALE COURT,17,48,SINGAPORE,542303,1.0,1.3874086,103.8898766
13 HOLLAND DRIVE BUONA VISTA NEIGHBOURHOOD POLICE POST #06-50 SINGAPORE 271013,13,HOLLAND DRIVE,BUONA VISTA NEIGHBOURHOOD POLICE POST,06,50,SINGAPORE,271013,13,HOLLAND DRIVE,BUONA VISTA NEIGHBOURHOOD POLICE POST,06,50,SINGAPORE,271013,1.0,1.3095218,103.7931549
504 CHENG SAN CREST ANG MO KIO AVENUE 8 #22-70 SINGAPORE 560504,504,ANG MO KIO AVENUE 8,CHENG SAN CREST,22,70,SINGAPORE,560504,504,ANG MO KIO AVENUE 8,CHENG SAN CREST,22,70,SINGAPORE,560504,1.0,1.374844,103.8489638
305 #24-66 PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC) CLEMENTI AVENUE 4 SINGAPORE 120305,305,CLEMENTI AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC),24,66,SINGAPORE,120305,305,CLEMENTI AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH 305 (CC),24,66,SINGAPORE,120305,1.0,11.5694231,104.9171913
108 RAJAH COURT JALAN RAJAH #20-48 SINGAPORE 320108,108,JALAN RAJAH,RAJAH COURT,20,48,SINGAPORE,320108,108,JALAN RAJAH,RAJAH COURT,20,48,SINGAPORE,320108,1.0,45.2935632,21.8808537
412 #08-31 CHOA CHU KANG AVENUE 3 SINGAPORE 680412,412,CHOA CHU KANG AVENUE 3,,08,31,SINGAPORE,680412,412,CHOA CHU KANG AVENUE 3,,08,31,SINGAPORE,680412,1.0,1.3816301,103.7421019
108 BUKIT PURMEI ROAD #08-30 PCF SPARKLETOTS PRESCHOOL @ RADIN MAS BLOCK 108 (KN) SINGAPORE 090108,108,BUKIT PURMEI ROAD,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS BLOCK 108 (KN),08,30,SINGAPORE,090108,108,BUKIT PURMEI ROAD,PCF SPARKLETOTS PRESCHOOL @ RADIN MAS BLOCK 108 (KN),08,30,SINGAPORE,090108,1.0,-2.230992675,-79.8929314
38 BEO CRESCENT #02-28 THE BEO CRESCENT SINGAPORE 160038,38,BEO CRESCENT,THE BEO CRESCENT,02,28,SINGAPORE,160038,38,BEO CRESCENT,THE BEO CRESCENT,02,28,SINGAPORE,160038,1.0,30.758161,76.7324019
BLOCK 19 BALAM ROAD BALAM GARDENS #24-93 SINGAPORE 370019,19,BALAM ROAD,BALAM GARDENS,24,93,SINGAPORE,370019,19,BALAM ROAD,BALAM GARDENS,24,93,SINGAPORE,370019,1.0,1.3314357,103.8874116
452 CHOA CHU KANG AVENUE 4 #04-81 SINGAPORE 680452,452,CHOA CHU KANG AVENUE 4,,04,81,SINGAPORE,680452,452,CHOA CHU KANG AVENUE 4,,04,81,SINGAPORE,680452,1.0,1.3803602,103.7353297
332C ANCHORVALE ISLES #03-32 ANCHORVALE LINK SINGAPORE 543332,332C,ANCHORVALE LINK,ANCHORVALE ISLES,03,32,SINGAPORE,543332,332C,ANCHORVALE LINK,ANCHORVALE ISLES,03,32,SINGAPORE,543332,1.0,1.3950811,103.8919421
13 #24-70 TOH YI GARDENS TOH YI DRIVE SINGAPORE 590013,13,TOH YI DRIVE,TOH YI GARDENS,24,70,SINGAPORE,590013,13,TOH YI DRIVE,TOH YI GARDENS,24,70,SINGAPORE,590013,1.0,1.3387625,103.7721293
104 BEDOK NORTH AVENUE 4 PEARL GARDEN #19-08 SINGAPORE 460104,104,BEDOK NORTH AVENUE 4,PEARL GARDEN,19,08,SINGAPORE,460104,104,BEDOK NORTH AVENUE 4,PEARL GARDEN,19,08,SINGAPORE,460104,1.0,1.3332926,103.9366183
42 #01-81 TELOK BLANGAH RISE SINGAPORE 090042,42,TELOK BLANGAH RISE,,01,81,SINGAPORE,090042,42,TELOK BLANGAH RISE,,01,81,SINGAPORE,090042,1.0,38.6470122,-9.0161708
929 TAMPINES STREET 91 TAMPINES PALMSPRING #13-20 SINGAPORE 520929,929,TAMPINES STREET 91,TAMPINES PALMSPRING,13,20,SINGAPORE,520929,929,TAMPINES STREET 91,TAMPINES PALMSPRING,13,20,SINGAPORE,520929,1.0,1.3463778,103.9396178
693 JURONG WEST CENTRAL 1 #05-19 SINGAPORE 640693,693,JURONG WEST CENTRAL 1,,05,19,SINGAPORE,640693,693,JURONG WEST CENTRAL 1,,05,19,SINGAPORE,640693,1.0,1.3428797,103.7061798
258C COMPASSVALE GARDENS COMPASSVALE ROAD #03-11 SINGAPORE 543258,258C,COMPASSVALE ROAD,COMPASSVALE GARDENS,03,11,SINGAPORE,543258,258C,COMPASSVALE ROAD,COMPASSVALE GARDENS,03,11,SINGAPORE,543258,1.0,1.393355,103.8975132
139 TAMPINES STREET 11 UOB TAMPINES ST 11 #02-71 SINGAPORE 521139,139,TAMPINES STREET 11,UOB TAMPINES ST 11,02,71,SINGAPORE,521139,139,TAMPINES STREET 11,UOB TAMPINES ST 11,02,71,SINGAPORE,521139,1.0,16.4655962,80.7169162
670B EDGEFIELD PLAINS WATERWAY RIDGES #13-65 SINGAPORE 822670,670B,,,13,65,SINGAPORE,822670,670B,EDGEFIELD PLACEAINS,,13,65,SINGAPORE,822670,0.8571428571428571,1.4053051,103.9133679
353 WOODLANDS AVENUE 1 WOODGROVE COMMUNITY CENTRE #09-86 SINGAPORE 730353,353,WOODLANDS AVENUE 1,WOODGROVE COMMUNITY CENTRE,09,86,SINGAPORE,730353,353,WOODLANDS AVENUE 1,WOODGROVE COMMUNITY CENTRE,09,86,SINGAPORE,730353,1.0,1.43188335,103.78530865
56 #14-17 TELOK BLANGAH HEIGHTS BLANGAH VIEW SINGAPORE 100056,56,TELOK BLANGAH HEIGHTS,BLANGAH VIEW,14,17,SINGAPORE,100056,56,TELOK BLANGAH HEIGHTS,BLANGAH VIEW,14,17,SINGAPORE,100056,1.0,41.33007413333333,69.3008219
155 LORONGONG 1 TOA PAYOH #20-05 SINGAPORE 310155,155,LORONGONG 1 TOA PAYOH,,20,05,SINGAPORE,310155,155,LORONGONG 1 TOA PAYOH,,20,05,SINGAPORE,310155,1.0,1.3328012,103.8455895
27 #09-18 MARSILING GREEN MARSILING DRIVE SINGAPORE 730027,27,MARSILING DRIVE,MARSILING GREEN,09,18,SINGAPORE,730027,27,MARSILING DRIVE,MARSILING GREEN,09,18,SINGAPORE,730027,1.0,1.44220315,103.7740877
113 #29-86 PASIR RIS STREET 11 SINGAPORE 510113,113,PASIR RIS STREET 11,,29,86,SINGAPORE,510113,113,PASIR RIS STREET 11,,29,86,SINGAPORE,510113,1.0,1.3680726,103.9558406
115 JURONG EAST STREET 13 #21-42 JURONG EAST VILLE SINGAPORE 600115,115,JURONG EAST STREET 13,JURONG EAST VILLE,21,42,SINGAPORE,600115,115,JURONG EAST STREET 13,JURONG EAST VILLE,21,42,SINGAPORE,600115,1.0,12.9507835,80.255186
109 FENGSHAN ESTATE #15-44 BEDOK NORTH ROAD SINGAPORE 460109,109,BEDOK NORTH ROAD,FENGSHAN ESTATE,15,44,SINGAPORE,460109,109,BEDOK NORTH ROAD,FENGSHAN ESTATE,15,44,SINGAPORE,460109,1.0,1.3320433,103.9349325
518C THE PREMIERE @ TAMPINES TAMPINES CENTRAL 7 #08-30 SINGAPORE 523518,518C,TAMPINES CENTRAL 7,THE PREMIERE @ TAMPINES,08,30,SINGAPORE,523518,518C,TAMPINES CENTRAL 7,THE PREMIERE @ TAMPINES,08,30,SINGAPORE,523518,1.0,48.9877666,20.3093442
219A #17-31 JURONG EAST STREET 21 SINGAPORE 601219,219A,JURONG EAST STREET 21,,17,31,SINGAPORE,601219,219A,JURONG EAST STREET 21,,17,31,SINGAPORE,601219,1.0,1.3405954,103.7374613
623 BEDOK RESERVOIR ROAD #24-62 EUNOS HEIGHTS SINGAPORE 470623,623,BEDOK RESERVOIR ROAD,EUNOS HEIGHTS,24,62,SINGAPORE,470623,623,BEDOK RESERVOIR ROAD,EUNOS HEIGHTS,24,62,SINGAPORE,470623,1.0,1.33393265,103.91659545
877 #13-22 TAMPINES STREET 84 TAMPINES SPRING SINGAPORE 520877,877,TAMPINES STREET 84,TAMPINES SPRING,13,22,SINGAPORE,520877,877,TAMPINES STREET 84,TAMPINES SPRING,13,22,SINGAPORE,520877,1.0,1.3525199,103.9314929
310A ANG MO KIO AVENUE 1 PCF SPARKLETOTS PRESCHOOL @ TECK GHEE 310A (CC) #07-48 SINGAPORE 561310,310A,ANG MO KIO AVENUE 1,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE 310A (CC),07,48,SINGAPORE,561310,310A,ANG MO KIO AVENUE 1,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE 310A (CC),07,48,SINGAPORE,561310,1.0,1.3649558,103.843818
BLOCK 3 TECK WHYE AVENUE TECK WHYE HEIGHTS I #07-13 SINGAPORE 680003,3,TECK WHYE AVENUE,TECK WHYE HEIGHTS I,07,13,SINGAPORE,680003,3,TECK WHYE AVENUE,TECK WHYE HEIGHTS I,07,13,SINGAPORE,680003,1.0,7.1135233666666675,-73.11117826666666
608 BEDOK RESERVOIR ROAD EUNOS RAINBOW #10-98 SINGAPORE 470608,608,BEDOK RESERVOIR ROAD,EUNOS RAINBOW,10,98,SINGAPORE,470608,608,BEDOK RESERVOIR ROAD,EUNOS RAINBOW,10,98,SINGAPORE,470608,1.0,1.3318556,103.9131627
113 #01-89 BUKIT BATOK WEST AVENUE 6 SINGAPORE 650113,113,BUKIT BATOK WEST AVENUE 6,,01,89,SINGAPORE,650113,113,BUKIT BATOK WEST AVENUE 6,,01,89,SINGAPORE,650113,1.0,1.3487334,103.7449525
